"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5"
-0.300,,,0.0,-0.300,,,0.0,-0.300,,,0.0,-0.300,,,0.0,-0.300,,,0.0
-0.200,,,0.0,-0.200,,,0.0,-0.200,,,0.0,-0.200,,,0.0,-0.200,,,0.0
-0.100,,0.00,0.0,-0.100,,0.00,0.0,-0.100,,-0.01,-0.1,-0.100,,8.21E-6,0.0,-0.100,,0.00,0.0
2.220E-16,0.401,0.01,0.0,2.220E-16,1.467,0.00,0.0,2.220E-16,0.524,-0.01,0.0,2.220E-16,0.329,-8.57E-4,-2.3E-5,2.220E-16,0.322,0.00,0.0
0.100,0.401,0.01,0.0,0.100,1.466,0.00,0.0,0.100,0.523,-0.02,0.0,0.100,0.329,0.00,0.0,0.100,0.322,0.00,0.0
0.200,0.402,0.01,0.0,0.200,1.466,-6.10E-4,0.0,0.200,0.521,-0.03,0.0,0.200,0.329,-5.76E-4,0.0,0.200,0.322,0.00,0.0
0.300,0.403,0.01,0.0,0.300,1.465,3.23E-4,0.0,0.300,0.520,-0.03,0.1,0.300,0.329,-2.87E-4,0.0,0.300,0.322,0.00,0.0
0.400,0.404,0.01,0.0,0.400,1.466,-5.00E-4,0.0,0.400,0.515,-0.02,0.1,0.400,0.328,-2.89E-4,0.0,0.400,0.325,0.00,6.4E-5
0.500,0.404,0.01,0.0,0.500,1.466,0.00,0.0,0.500,0.512,-0.01,0.0,0.500,0.329,-8.22E-6,0.0,0.500,0.323,0.00,0.0
0.600,0.405,0.01,0.0,0.600,1.466,-9.94E-4,0.1,0.600,0.512,-0.01,0.0,0.600,0.328,8.55E-4,-9.4E-4,0.600,0.323,0.00,0.2
0.700,0.406,0.01,0.0,0.700,1.465,0.00,0.0,0.700,0.511,0.00,0.0,0.700,0.328,0.00,0.0,0.700,0.325,0.00,0.8
0.800,0.407,0.01,0.0,0.800,1.465,0.02,0.0,0.800,0.510,-4.26E-5,0.0,0.800,0.329,5.82E-4,0.0,0.800,0.325,0.00,1.8
0.900,0.407,0.01,0.0,0.900,1.466,0.02,-0.1,0.900,0.510,0.00,9.9E-5,0.900,0.329,-3.00E-4,0.0,0.900,0.323,0.11,2.5
1.000,0.408,0.01,0.0,1.000,1.466,0.00,-0.1,1.000,0.510,0.00,0.0,1.000,0.329,0.00,0.1,1.000,0.323,0.37,2.4
1.100,0.408,0.00,0.0,1.100,1.474,-0.01,0.0,1.100,0.511,0.00,2.1E-4,1.100,0.329,0.01,0.3,1.100,0.329,0.70,1.1
1.200,0.409,0.00,0.0,1.200,1.467,-0.01,0.0,1.200,0.512,2.57E-4,0.0,1.200,0.329,0.02,0.6,1.200,0.386,0.94,-0.9
1.300,0.409,0.00,0.0,1.300,1.467,-5.73E-4,0.0,1.300,0.512,0.00,0.0,1.300,0.330,0.07,0.8,1.300,0.482,0.96,-2.9
1.400,0.410,0.00,0.0,1.400,1.467,-5.12E-4,0.0,1.400,0.511,0.00,0.0,1.400,0.332,0.14,0.9,1.400,0.589,0.75,-4.0
1.500,0.410,-2.56E-4,0.0,1.500,1.467,0.00,0.0,1.500,0.511,0.01,0.0,1.500,0.339,0.25,0.8,1.500,0.691,0.34,-4.0
1.600,0.410,0.00,0.0,1.600,1.467,-0.01,0.0,1.600,0.513,0.01,0.0,1.600,0.358,0.35,0.5,1.600,0.755,-0.14,-3.1
1.700,0.410,0.00,0.0,1.700,1.466,-0.01,0.1,1.700,0.512,0.02,0.0,1.700,0.389,0.42,0.0,1.700,0.765,-0.54,-1.8
1.800,0.410,0.00,0.0,1.800,1.466,-0.01,0.1,1.800,0.516,0.02,0.1,1.800,0.430,0.45,-0.4,1.800,0.718,-0.78,-0.6
1.900,0.409,0.00,0.0,1.900,1.463,0.00,0.0,1.900,0.517,0.02,0.2,1.900,0.478,0.43,-1.0,1.900,0.643,-0.89,0.5
2.000,0.409,0.00,0.0,2.000,1.463,0.01,0.0,2.000,0.518,0.03,0.2,2.000,0.524,0.37,-1.7,2.000,0.553,-0.90,1.7
2.100,0.408,0.01,0.0,2.100,1.466,0.00,0.0,2.100,0.520,0.06,0.3,2.100,0.565,0.25,-2.1,2.100,0.460,-0.79,2.7
2.200,0.409,0.01,0.0,2.200,1.466,0.00,0.0,2.200,0.524,0.08,0.3,2.200,0.599,0.03,-2.0,2.200,0.368,-0.56,3.4
2.300,0.410,0.01,0.0,2.300,1.466,0.00,0.0,2.300,0.530,0.11,0.4,2.300,0.625,-0.23,-1.3,2.300,0.291,-0.22,3.6
2.400,0.411,0.01,0.0,2.400,1.464,0.00,0.1,2.400,0.543,0.13,0.5,2.400,0.613,-0.42,-0.5,2.400,0.247,0.16,3.2
2.500,0.411,0.00,0.0,2.500,1.467,0.00,0.1,2.500,0.551,0.17,0.5,2.500,0.568,-0.49,-0.1,2.500,0.246,0.54,2.3
2.600,0.412,0.00,0.0,2.600,1.467,0.01,0.0,2.600,0.567,0.24,0.3,2.600,0.517,-0.49,0.1,2.600,0.280,0.84,1.0
2.700,0.412,0.00,0.0,2.700,1.467,0.03,-0.1,2.700,0.586,0.29,0.0,2.700,0.469,-0.49,0.3,2.700,0.354,1.02,-0.4
2.800,0.412,3.04E-4,0.0,2.800,1.467,0.03,-0.1,2.800,0.612,0.32,-0.3,2.800,0.421,-0.49,0.7,2.800,0.461,1.04,-1.7
2.900,0.413,0.00,0.0,2.900,1.475,0.02,-0.1,2.900,0.648,0.29,-0.4,2.900,0.371,-0.44,1.1,2.900,0.565,0.93,-2.7
